id,occupationTitle,abbreviatedName,category,employment2016Thousands,employment2026Thousands,employmentChange20162026Percent,occupationalOpenings20162026AnnualAverageThousands,MedianAnnualWage,asCode,typicalEntryLevelEducation,educationCode,workExperienceInARelatedOccupation,workExCode,typicalOnTheJobTraining,trCode,createdAt,updatedAt
141,"Business teachers, postsecondary    * Accounting Professor* Banking and Finance Instructor* Business Administration Professor* Finance Professor* Management Professor* Marketing Instructor* Marketing Professor","Business teachers",Education,104.2,123,18.1,10.4,"80,300","80,000-99,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
142,"Architecture teachers, postsecondary    * Architectural Design Professor* Architecture Professor* Interior Design Professor* Landscape Architecture Professor","Architecture teachers",Education,9.5,10.5,10.6,0.8,"80,050","80,000-99,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
143,"Hydrologists    * Hydrogeologist* Hydrologist* Isotope Hydrologist* Surface Hydrologist","Hydrologists    ",Science,6.7,7.4,9.9,0.7,"79,990","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
144,"Detectives and criminal investigators    * Criminal Investigator* Deputy United States Marshal* FBI Investigator* Homicide Detective* Narcotics Detective* Narcotics Investigator* Police Detective","Detectives and criminal investigators    ",Government,110.9,115.9,4.5,7.5,"79,970","65,000-79,000","High school diploma or equivalent",7,"Less than 5 years",2,"Moderate-term on-the-job training",4,NULL,NULL
145,"Sociologists    * Criminologist* Family Sociologist* Penologist* Rural Sociologist* Sociologist* Urban Sociologist","Sociologists    ",Medical,3.5,3.5,1.3,0.3,"79,650","65,000-79,000","Master's degree",2,None,4,None,6,NULL,NULL
146,"Media and communication equipment workers, all other    * Dimmer Board Operator* Satellite Communications Operator* Spotlight Operator","Media and communication equipment workers",Media,20.6,22.2,7.9,2.1,"79,500","65,000-79,000","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
147,"Elevator installers and repairers    * Elevator Adjuster* Elevator Constructor* Elevator Installer* Elevator Mechanic* Elevator Repair and Maintenance Technician* Elevator Service Technician* Escalator Installer* Escalator Mechanic* Escalator Service Mechanic* Freight Elevator Erector* Hydraulic Elevator Constructor","Elevator installers and repairers    ","Skilled Labor - Trades",22.1,24.8,12.1,3,"79,480","65,000-79,000","High school diploma or equivalent",7,None,4,Apprenticeship,2,NULL,NULL
148,"Social scientists and related workers, all other    * Behavioral Scientist* Demographer* Ethnologist* Etymologist* Linguist* Philologist* Social Scientist","Social scientists and related workers",Science,42.1,44.9,6.5,4.2,"79,370","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
149,"Sales representatives, wholesale and manufacturing, technical and scientific products    * Chemical Sales Representative* Electroplating Sales Representative* Engineering Supplies Sales* Pharmaceutical Detailer* Pharmaceutical Sales Representative* Pharmaceutical Salesperson* Surgical Instruments Sales Representative* Wholesale Ultrasonic Equipment Salesperson","Sales representatives","Sales & Marketing",343.6,361.3,5.1,37,"78,830","65,000-79,000","Bachelor's degree",3,None,4,"Moderate-term on-the-job training",4,NULL,NULL
150,"Commercial pilots    * Aerial Crop Duster* Aerial Hurricane Hunter* Aerial Sprayer* Agricultural Pilot* Air Ambulance Captain* Air Tour Pilot* Balloon Pilot* Charter Pilot (Commercial Pilot Certificate Required)* Charter Pilot (Commercial)* Commercial Helicopter Pilot* Corporate Pilot* EMS Helicopter Pilot* Emergency Medical Service Helicopter Pilot* Emergency Medical Service Rotary Wing Pilot* Executive Pilot* Flight Instructor (Commercial Pilots)* Helicopter Pilot","Commercial pilots    ",Transportation,40.8,42.3,3.8,4,"78,740","65,000-79,000","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
151,"Computer science teachers, postsecondary    * C++ Professor* Computer Information Systems Professor* Computer Programming Professor* IT Professor* Information Systems Professor* Information Technology Professor* Java Programming Professor","Computer science teachers",Education,39.7,42.9,8.1,3.4,"78,630","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
152,"Architects, except landscape and naval    * Building Architect* Building Architectural Designer* Structural Architect",Architects,"Art & Design",128.8,134.2,4.2,9.7,"78,470","65,000-79,000","Bachelor's degree",3,None,4,Internship/residency,1,NULL,NULL
153,"Electrical and electronics repairers, powerhouse, substation, and relay    * Generating Station Mechanic* Power Transformer Repairer* Powerhouse Electrician* Protective Relay Technician* Relay Technician* Substation Electrician* Substation Mechanic","Electrical and electronics repairers","Skilled Labor - Trades",23.4,24.3,3.7,2.1,"78,410","65,000-79,000","Postsecondary nondegree award",5,"Less than 5 years",2,"Moderate-term on-the-job training",4,NULL,NULL
154,"Biological science teachers, postsecondary    * Anatomy Professor* Bacteriology Professor* Biochemistry Professor* Botany Professor* Embryology Professor* Microbiology Professor* Zoology Professor","Biological science teachers",Education,62.3,71.7,15.2,6,"78,240","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
155,"Funeral service managers    * Funeral Home Director* Funeral Home Manager","Funeral service managers    ",Service,25.7,27.5,6.8,2,"78,040","65,000-79,000","Associate's degree",4,"Less than 5 years",2,None,6,NULL,NULL
156,"Geography teachers, postsecondary    * Cartography Professor* GIS Professor* Geographic Information Systems Professor* Geomatics Professor","Geography teachers",Education,5,5.4,8.4,0.4,"78,040","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
157,"Genetic counselors    * Certified Genetic Counselor* Chromosomal Disorders Counselor* Genetic Counselor* Mitochondrial Disorders Counselor* Prenatal Genetic Counselor","Genetic counselors    ",Medical,3.1,4,29,0.3,"77,480","65,000-79,000","Master's degree",2,None,4,None,6,NULL,NULL
158,"Chemistry teachers, postsecondary    * Chemistry Professor* Inorganic Chemistry Professor* Organic Chemistry Professor* Physical Chemistry Professor* Phytochemistry Professor","Chemistry teachers",Education,26.3,28.9,9.9,2.3,"77,190","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
159,"Power plant operators    * Hydroelectric Plant Operator* Power Plant Control Room Operator* Powerhouse Operator* Turbine Room Attendant","Power plant operators    ","Skilled Labor - Trades",36.1,36.5,1.3,3.2,"77,180","65,000-79,000","High school diploma or equivalent",7,None,4,"Long-term on-the-job training",3,NULL,NULL
160,"Geographers    * Biogeographer* Economic Geographer* GIS Geographer* Geographer* Geomorphologist* Glaciologist* Physical Geographer* Political Geographer","Geographers    ",Science,1.5,1.7,6.7,0.2,"76,860","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
161,"Biological scientists, all other    * Biologist* Bryologist* Embryologist* Osteologist* Paleobotanist* Phytopathologist* Plant Etiologist","Biological scientists",Science,38.7,41.8,8,3.7,"76,690","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
162,"Speech-language pathologists    * Language Pathologist* Public School Speech Clinician* Public School Speech Therapist* Speech Clinician* Speech Pathologist* Speech Therapist* Speech and Language Specialist","Speech-language pathologists    ",Medical,145.1,171,17.8,10.4,"76,610","65,000-79,000","Master's degree",2,None,4,Internship/residency,1,NULL,NULL
163,"Environmental science teachers, postsecondary    * Environmental Science Professor* Environmental Science, Management and Policy Professor* Environmental Studies Professor","Environmental science teachers",Education,6.9,7.6,9.6,0.6,"76,360","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
164,"First-line supervisors of fire fighting and prevention workers    * Fire Lieutenant* Municipal Fire Fighting and Prevention Supervisor* Supervising Fire Marshal","First-line supervisors of fire fighting and prevention workers    ",Government,59.1,63.3,7.2,4.4,"76,170","65,000-79,000","Postsecondary nondegree award",5,"Less than 5 years",2,"Moderate-term on-the-job training",4,NULL,NULL
165,"Audiologists    * Audiologist* Clinical Audiologist* Dispensing Audiologist* Educational Audiologist* Hearing Therapist* Licensed Audiologist* Pediatric Audiologist","Audiologists    ",Medical,14.8,17.8,20.7,1,"75,920","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
166,"Nuclear medicine technologists    * Certified Nuclear Medicine Technologist* Isotope Technologist* Nuclear Cardiology Technologist* Nuclear Medical Technologist* Radioisotope Technologist* Registered Nuclear Medicine Technologist","Nuclear medicine technologists    ",Medical,20.1,22.1,9.8,1.3,"75,660","65,000-79,000","Associate's degree",4,None,4,None,6,NULL,NULL
167,"Budget analysts    * Budget Analyst* Budget Coordinator* Budget Examiner* Budget Officer* Cost Analyst","Budget analysts    ",Business,58.4,62.2,6.5,4.8,"75,240","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
168,"Clinical, counseling, and school psychologists    * Child Psychologist* Child Psychometrist* Clinical Psychologist* Eating Disorder Psychologist* Educational Psychologist* Geropsychologist* Pediatric Psychologist* School Psychologist* School Psychometrist* Vocational Psychologist",Clinical,Education,147.5,168.5,14.3,12.1,"75,090","65,000-79,000","Doctoral or professional degree",1,None,4,Internship/residency,1,NULL,NULL
169,"Postmasters and mail superintendents    * Postal Supervisor* Postmaster","Postmasters and mail superintendents    ",Government,14.2,11.2,-20.9,0.6,"74,840","65,000-79,000","High school diploma or equivalent",7,"Less than 5 years",2,"Moderate-term on-the-job training",4,NULL,NULL
170,"Agricultural engineers    * Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer","Agricultural engineers    ",Engineering,2.7,2.9,8.2,0.2,"74,780","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
171,"Chemists    * Agricultural Chemist* Analytical Chemist* Bench Chemist* Food Chemist* Formulary Chemist* Industrial Chemist* Inorganic Chemist* Laboratory Chemist* Nuclear Chemist* Organic Chemist* Quality Control Chemist* Research and Development Chemist","Chemists    ",Science,88.3,94,6.5,8.6,"74,740","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
172,"Logisticians    * Logistician* Logistics Analyst* Logistics Coordinator* Logistics Planner* Logistics Specialist","Logisticians    ",Business,148.7,159,6.9,15.6,"74,590","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
173,"Life scientists, all other    * Life Science Taxonomist","Life scientists",Science,8.9,9.7,9.2,0.8,"74,540","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
174,"Dental hygienists    * Dental Hygienist* Oral Hygienist* RDH* Registered Dental Hygienist","Dental hygienists    ",Medical,207.9,248.9,19.7,17.5,"74,070","65,000-79,000","Associate's degree",4,None,4,None,6,NULL,NULL
175,"Health diagnosing and treating practitioners, all other    * Acupuncturist* Homeopathic Doctor* Hypnotherapist* Naturopath* Naturopathic Doctor* Naturopathic Physician","Health diagnosing and treating practitioners",Medical,56.4,63.9,13.3,3.8,"73,830","65,000-79,000","Master's degree",2,None,4,None,6,NULL,NULL
176,"Psychology teachers, postsecondary    * Applied Psychology Professor* Child Development Professor* Clinical Psychology Professor* Educational Psychology Professor* Human Relations Professor* Industrial Psychology Professor* Industrial/Organizational Psychology Professor* Psychology Professor","Psychology teachers",Education,46.9,54,15.1,4.5,"73,770","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
177,"Ship engineers    * Barge Engineer* Ferry Engineer* Towboat Engineer* Tug Boat Engineer* Tugboat Engineer","Ship engineers    ",Transportation,10.1,10.8,6.5,1.3,"73,110","65,000-79,000","Postsecondary nondegree award",5,"Less than 5 years",2,None,6,NULL,NULL
178,"Sociology teachers, postsecondary    * Comparative Sociology Professor* Race Relations Professor* Social Organization Professor","Sociology teachers",Education,17.9,19.6,9.8,1.6,"73,080","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
179,"Gaming managers    * Bingo Manager* Casino Manager* Gaming Department Head* Gaming Director* Gaming Manager* Slot Operations Director* Slots Manager* Table Games Manager","Gaming managers    ",Service,4.5,4.6,2.5,0.5,"72,930","65,000-79,000","High school diploma or equivalent",7,"Less than 5 years",2,None,6,NULL,NULL
180,"Emergency management directors    * Director of Civil Defense* Disaster Response Director* EMS Director* Emergency Management System Director* Emergency Planner* Emergency Planning and Response Manager* Emergency Preparedness Coordinator* Emergency Services Director* Emergency Services Program Coordinator* Public Safety Director","Emergency management directors    ",Government,10.1,10.9,7.7,0.9,"72,760","65,000-79,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
181,"History teachers, postsecondary    * African History Professor* American History Professor* Historiography Professor* Jewish History Professor* Russian History Professor* South Asian History Professor","History teachers",Education,26.9,29.7,10.3,2.4,"72,690","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
182,"Area, ethnic, and cultural studies teachers, postsecondary    * African Studies Professor* Asian Studies Professor* Black Studies Professor* Ethnology Professor* Gender Studies Professor* Latin American Studies Professor* Women's Studies Professor",Area,Education,11.5,12.7,10.5,1,"72,230","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
183,"Transportation inspectors    * Aircraft Inspector* Aircraft Landing Gear Inspector* Aircraft Quality Control Inspector* Airworthiness Safety Inspector* Freight Inspector* Locomotive Inspector* Motor Vehicle Emissions Inspector* Railroad Car Inspector* Railroad Inspector* School Bus Inspector* Transit Vehicle Inspector","Transportation inspectors    ",Transportation,28.2,29.8,5.9,2.9,"72,140","65,000-79,000","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
184,"Occupational health and safety specialists    * Certified Indoor Environmentalist* Certified Industrial Hygienist* Certified Professional Ergonomist* Environmental Health Sanitarian* Health and Safety Inspector* Industrial Hygienist* Industrial Safety and Health Specialist* Occupational Health and Safety Specialist* Occupational Safety and Health Inspector* Radiological Health Specialist","Occupational health and safety specialists    ",Medical,83.7,90.5,8.1,5,"71,780","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
185,"First-line supervisors of non-retail sales workers    * Blood Donor Recruiter Supervisor* Insurance Sales Supervisor* Radio Time Sales Supervisor* Real Estate Sales Supervisor* Stock Broker Supervisor* Telemarketer Supervisor* Telemarketing Manager* Telesales Supervisor","First-line supervisors of non-retail sales workers    ",Service,405.2,425.2,4.9,39,"71,650","65,000-79,000","High school diploma or equivalent",7,"Less than 5 years",2,None,6,NULL,NULL
186,"Home economics teachers, postsecondary    * Family Resource Management Professor* Family and Consumer Sciences Professor* Home and Family Living Professor* Weaving Professor","Home economics teachers",Education,3.5,3.8,7.8,0.3,"71,630","65,000-79,000","Master's degree",2,None,4,None,6,NULL,NULL
187,"Producers and directors    * Broadcast Producer* Casting Director* Film Maker* Independent Film Maker* Independent Video Producer* Motion Picture Director* Movie Producer* Music Video Director* Music Video Producer* News Production Supervisor* Newscast Director* Newscast Producer* On-Air Director* Pageant Director* Radio Producer* Radio Television Technical Director* Stage Manager* Television News Producer* Television Newscast Director* Television Producer* Television Program Director* Theater C","Producers and directors    ","Art & Design",134.7,151.2,12.2,14.1,"71,620","65,000-79,000","Bachelor's degree",3,"Less than 5 years",2,None,6,NULL,NULL
188,"Urban and regional planners    * City Planner* Community Development Planner* Regional Planner* Urban Planner","Urban and regional planners    ",Government,36,40.6,12.8,3.5,"71,490","65,000-79,000","Master's degree",2,None,4,None,6,NULL,NULL
189,"Diagnostic medical sonographers    * Cardiac/Vascular Sonographer* Diagnostic Medical Sonographer* Registered Diagnostic Medical Sonographer* Sonographer* Ultrasonographer* Ultrasound Technician* Ultrasound Technologist","Diagnostic medical sonographers    ",Medical,67.3,82.9,23.2,5.4,"71,410","65,000-79,000","Associate's degree",4,None,4,None,6,NULL,NULL
190,"Credit analysts    * Chief Credit Analyst* Credit Analyst* Credit Assessment Analyst* Credit Risk Analyst* Factorer","Credit analysts    ",Business,73.8,79.9,8.4,6.8,"71,290","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
191,"Nursing instructors and teachers, postsecondary    * Advanced Nursing Professor* Clinical Nursing Instructor* Clinical Nursing Professor* Registered Nursing Professor","Nursing instructors and teachers",Education,67.9,84.2,24,7.3,"71,260","65,000-79,000","Doctoral or professional degree",1,"Less than 5 years",2,None,6,NULL,NULL
192,"Library science teachers, postsecondary    * Library and Information Science Professor* Library and Information Technology Instructor* Medical Records Library Professor","Library science teachers",Education,6,6.5,9,0.5,"70,940","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
193,"Technical writers    * Assembly Instructions Writer* Documentation Writer* Engineering Writer* Handbook Writer* Medical Writer* Specifications Writer* Technical Communicator* Technical Writer","Technical writers    ",Media,52.4,58.1,11,5.7,"70,930","65,000-79,000","Bachelor's degree",3,"Less than 5 years",2,"Short-term on-the-job training",5,NULL,NULL
194,"Captains, mates, and pilots of water vessels    * Barge Captain* Barge Master* Boat Pilot* Car Ferry Captain* Car Ferry Master* Coastal Tug Mate* Deck Officer* Docking Pilot* Ferry Boat Captain* Ferry Captain* Ferryboat Captain* First Mate* Harbor Boat Pilot* Harbor Pilot* Harbor Tug Captain* Port Captain* River Boat Captain* River Pilot* Sailboat Captain* Ship Harbor Pilot* Tow Boat Captain* Towboat Pilot* Tug Boat Captain* Tugboat Captain* Tugboat Mate* Tugboat Operator* Tugboat Pilot",Captains,Transportation,38.8,42.2,8.8,4.4,"70,920","65,000-79,000","Postsecondary nondegree award",5,"Less than 5 years",2,None,6,NULL,NULL
195,"Mathematical science teachers, postsecondary    * Actuarial Science Professor* Biostatistics Professor* Calculus Professor* Geometry Professor* Mathematics Professor* Statistical Methods Professor* Statistics Professor* Topology Professor","Mathematical science teachers",Education,60.9,66.6,9.2,5.3,"70,910","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
196,"Multimedia artists and animators    * 3D Animator* Animator* Multimedia Artist* Special Effects Artist","Multimedia artists and animators    ","Art & Design",73.7,79.9,8.4,6.6,"70,530","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
197,"Transit and railroad police    * Railroad Detective* Railroad Police Officer* Track Patrol* Transit Authority Police* Transit Police Officer","Transit and railroad police    ",Government,4.9,5.3,6.3,0.4,"70,280","65,000-79,000","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
198,"Business operations specialists, all other    * Mystery Shopper* Ship Purser","Business operations specialists",Service,1,1,8.8,104.2,"70,010","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
199,"Registered nurses    * CCU Nurse* CNS* Clinical Nurse Specialist* Community Health Nurse* Coronary Care Unit Nurse* Emergency Room RN* Endoscopy Registered Nurse* Hospice Registered Nurse* Obstetrical Nurse* Oncology Registered Nurse* PACU Nurse* Pediatric Registered Nurse* Post-Anesthesia Care Unit Nurse* Psychiatric Nurse* RN* Registered Nurse* Triage Registered Nurse","Registered nurses    ",Medical,2,3,14.8,203.7,"70,000","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
200,"Microbiologists    * Bacteriologist* Clinical Microbiologist* Medical Microbiologist* Microbiological Analyst* Public Health Microbiologist* Quality Control Microbiologist* Virologist","Microbiologists    ",Science,23.2,25.1,8.2,2.2,"69,960","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
201,"Magnetic resonance imaging technologists    * Computed Tomography/Magnetic Resonance Imaging (CT/MRI) Technologist* MRI Technologist","Magnetic resonance imaging technologists    ",Medical,36.6,41.5,13.7,2.5,"69,930","65,000-79,000","Associate's degree",4,"Less than 5 years",2,None,6,NULL,NULL
202,"Insurance underwriters    * Automobile and Property Underwriter* Bond Underwriter* Insurance Analyst* Insurance Underwriter* Insurance Writer* Underwriting Account Representative* Underwriting Service Representative","Insurance underwriters    ",Business,104.1,98.6,-5.2,7.5,"69,760","65,000-79,000","Bachelor's degree",3,None,4,"Moderate-term on-the-job training",4,NULL,NULL
203,"Epidemiologists    * Clinical Epidemiologist* Communicable Disease Specialist* Environmental Epidemiologist* Epidemiology Investigator* Malariologist* Medical Epidemiologist* Pharmacoepidemiologist","Epidemiologists    ",Science,6.1,6.6,8.8,0.6,"69,660","65,000-79,000","Master's degree",2,None,4,None,6,NULL,NULL
204,"Farmers, ranchers, and other agricultural managers    * Agricultural Crop Farm Manager* Animal Husbandry Manager* Aquaculture Farm Manager* Beef Farm Operator* Christmas Tree Farm Manager* Dairy Farm Manager* Fish Hatchery Manager* Greenhouse Manager* Hatchery Manager* Orchard Manager",Farmers,Farming,1,1,-0.8,74.3,"69,620","65,000-79,000","High school diploma or equivalent",7,"5 years or more",1,None,6,NULL,NULL
205,"Philosophy and religion teachers, postsecondary    * Biblical Studies Professor* Divinity Professor* Eastern Philosophy Professor* Old Testament Professor* Pastoral Ministries Professor* Religious Studies Professor* Theology Professor* Western Philosophy Professor","Philosophy and religion teachers",Education,31.8,35.7,12.3,2.9,"69,590","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
206,"Financial specialists, all other    * Bail Bondsman* Bondsman* Executor of Estate* Foreign Exchange Trader","Financial specialists",Business,135.9,149,9.6,13.1,"69,520","65,000-79,000","Bachelor's degree",3,None,4,"Moderate-term on-the-job training",4,NULL,NULL
207,"Environmental scientists and specialists, including health    * Ecological Modeler* Environmental Analyst* Environmental Scientist* Hazardous Substances Scientist* Health Environmentalist* Water Pollution Scientist* Water Quality Analyst","Environmental scientists and specialists",Science,89.5,99.4,11.1,9.5,"69,400","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
208,"Electrical power-line installers and repairers    * Electric Powerline Examiner* Electric Utility Lineworker* Electrical High Tension Tester* Electrical Lineworker* Power Lineworker* Underground Conduit Installer","Electrical power-line installers and repairers    ","Skilled Labor - Trades",120.9,137.7,13.9,11.7,"69,380","65,000-79,000","High school diploma or equivalent",7,None,4,"Long-term on-the-job training",3,NULL,NULL
209,"Accountants and auditors    * Account Auditor* Accountant* Auditor* Auditor-In-Charge* CPA* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant","Accountants and auditors    ",Business,1,1,10,141.8,"69,350","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
210,"Gas plant operators    * Gas Controller* Gas Plant Dispatcher* Gas Plant Operator* Gas Plant Technician* Natural Gas Plant Technician","Gas plant operators    ","Skilled Labor - Trades",17.3,17.3,0,1.7,"69,030","65,000-79,000","High school diploma or equivalent",7,None,4,"Long-term on-the-job training",3,NULL,NULL
211,"Chiropractors    * Chiropractic Doctor* Chiropractic Physician* Chiropractor","Chiropractors    ",Medical,47.4,53.3,12.5,1.8,"68,640","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
212,"Signal and track switch repairers    * Electric Track Switch Maintainer* Light Rail Signal Technician* Rail Signal Mechanic* Railway Signal Technician* Third Rail Installer* Train Control Electronic Technician* Train Control Technician","Signal and track switch repairers    ","Skilled Labor - Trades",10,10.2,1.3,1,"68,400","65,000-79,000","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
213,"Web developers    * Internet Application Developer* Internet Developer* Intranet Developer* Web Content Developer* Web Designer* Web Developer","Web developers    ","Information Technology",162.9,187.2,15,14.6,"67,990","65,000-79,000","Associate's degree",4,None,4,None,6,NULL,NULL
214,"Compliance officers    * Air Pollution Compliance Inspector* Compliance Investigator* Driver's License Examiner* EEO Officer* Environmental Compliance Inspector* Equal Employment Opportunity Investigator* Equal Employment Opportunity Officer* Equal Employment Opportunity Representative* Immigration Investigator* Inspector of Weights and Measures* License Inspector* Mortician Investigator* Wage and Hour Investigator","Compliance officers    ",Government,288.3,312,8.2,25.9,"67,870","65,000-79,000","Bachelor's degree",3,None,4,"Moderate-term on-the-job training",4,NULL,NULL
215,"Petroleum pump system operators, refinery operators, and gaugers    * Hydrotreater Operator* Oil Gauger* Oil Pipeline Dispatcher* Oil Pipeline Operator* Oil Refiner* Petroleum Plant Operator* Petroleum Refinery Control Panel Operator* Petroleum Refinery Operator* Petroleum Refining Equipment Operator","Petroleum pump system operators","Skilled Labor - Trades",41.8,43,2.8,4.3,"67,770","65,000-79,000","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
216,"Fashion designers    * Apparel Designer* Clothes Designer* Clothing Designer* Costume Designer* Custom Furrier* Dance Costume Designer* Dress Designer* Fashion Designer* Hat Designer* Sweater Designer* Uniform Designer","Fashion designers    ","Art & Design",23.8,24.4,2.6,2.3,"67,420","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
217,"Aerospace engineering and operations technicians    * Altitude Chamber Technician* Flight Data Technician* Wind Tunnel Technician","Aerospace engineering and operations technicians    ",Engineering,12.1,12.9,6.6,1.1,"67,240","65,000-79,000","Associate's degree",4,None,4,None,6,NULL,NULL
218,"Art, drama, and music teachers, postsecondary    * Ballet Professor* Graphic Design Professor* Music Professor* Photography Professor* Piano Performance and Pedagogy Professor* Piano Professor* Scene and Lighting Design Lecturer* Stagecraft Professor* Theatre Professor* Voice Professor",Art,Education,122.5,137.2,12,11.2,"66,930","65,000-79,000","Master's degree",2,None,4,None,6,NULL,NULL
219,"Communications teachers, postsecondary    * Interpersonal Communications Professor* Journalism Professor* Media Arts Professor* Professor of Communication and Writing* Professor of Rhetoric* Public Speaking Professor* Speech Professor","Communications teachers",Education,34.1,37.5,10,3,"66,510","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
220,"Subway and streetcar operators    * Light Rail Operator* Light Rail Transit Operator* Light Rail Vehicle Operator* Rapid Transit Operator* Subway Conductor* Subway Train Operator* Tram Operator* Trolley Car Operator","Subway and streetcar operators    ",Transportation,12.8,13.4,4.1,1.3,"66,420","65,000-79,000","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
221,"Orthotists and prosthetists    * American Board Certified Orthotist* Artificial Limb Fitter* Certified Orthotic Fitter* Certified Prosthetist/Orthotist* Licensed Prosthetist* Orthotic/Prosthetic Practitioner* Orthotist* Pedorthist* Prosthetist","Orthotists and prosthetists    ",Medical,7.8,9.5,22.2,0.7,"66,240","65,000-79,000","Master's degree",2,None,4,Internship/residency,1,NULL,NULL
222,"Commercial and industrial designers    * Automobile Designer* Bank Note Designer* Bicycle Designer* Car Body Designer* Ceramic Designer* Ceramic Mold Designer* Furniture Designer* Package Designer* Rug Designer* Snowboard Designer* Textile Designer* Tile Designer* Toy Designer","Commercial and industrial designers    ","Art & Design",39.7,41.4,4.4,3.9,"65,970","65,000-79,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
223,"Landscape architects    * Golf Course Architect* Golf Course Designer* Landscape Designer* Lanscape Architect","Landscape architects    ","Art & Design",24.7,26.3,6.4,1.9,"65,760","65,000-79,000","Bachelor's degree",3,None,4,Internship/residency,1,NULL,NULL
224,"Foreign language and literature teachers, postsecondary    * Arabic Professor* Biblical Languages Professor* Chinese Language Professor* French Professor* German Professor* Greek Professor* Hebrew Professor* Japanese Professor* Russian Language Professor* Spanish Literature Professor","Foreign language and literature teachers",Education,35,39.1,11.9,3.2,"65,010","65,000-79,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
225,"Agents and business managers of artists, performers, and athletes    * Artist Manager* Artist Representative* Author's Agent* Band Manager* Booking Agent* Booking Manager* Fight Manager* Literary Agent* Modeling Agent* Talent Agent* Talent Manager* Theatrical Agent","Agents and business managers of artists",Business,19.1,20,4.7,2.3,"64,940","50,000-64,999","Bachelor's degree",3,"Less than 5 years",2,None,6,NULL,NULL
226,"English language and literature teachers, postsecondary    * Children's Literature Professor* Composition Professor* Contemporary English Literature Professor* Creative Writing English Professor* Etymology Professor* Medieval English Literature Professor* Seventeenth-Century English Literature Professor* Victorian Literature Professor","English language and literature teachers",Education,84.6,92.9,9.8,7.5,"64,910","50,000-64,999","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
