id,occupationTitle,abbreviatedName,category,employment2016Thousands,employment2026Thousands,employmentChange20162026Percent,occupationalOpenings20162026AnnualAverageThousands,MedianAnnualWage,asCode,typicalEntryLevelEducation,educationCode,workExperienceInARelatedOccupation,workExCode,typicalOnTheJobTraining,trCode,createdAt,updatedAt
33,"Family and general practitioners    * Board Certified Family Physician* Family Medicine Physician* Family Physician* Family Practice Medical Doctor* Family Practice Physician* Family Practitioner* GP Doctor* General Practitioner","Family and general practitioners    ",Medical,134.8,154.1,14.3,5.6,"198,740","150,000 and up","Doctoral or professional degree",1,None,4,Internship/residency,1,NULL,NULL
34,"Internists, general    * General Internal Medicine Doctor* General Internal Medicine Physician* General Internist* Internal Medicine Physician* Internist",Internists,Medical,49.8,57,14.6,2.1,"192,930","150,000 and up","Doctoral or professional degree",1,None,4,Internship/residency,1,NULL,NULL
35,"Dentists, all other specialists    * Endodontist* Maxillofacial Pathology* Oral Pathologist* Pediatric Dentist* Pedodontist* Periodontist* Public Health Dentist",Dentists,Medical,6.4,7.3,13.3,0.3,"190,840","150,000 and up","Doctoral or professional degree",1,None,4,Internship/residency,1,NULL,NULL
36,"Prosthodontists    * Maxillofacial Prosthetics Dentist* Maxillofacial Prosthodontist* Prosthodontist* Reconstructive Dentist","Prosthodontists    ",Medical,0.9,1.1,19.1,0,"185,150","150,000 and up","Doctoral or professional degree",1,None,4,Internship/residency,1,NULL,NULL
37,"Chief executives    * CEO* COO* Chief Executive Officer* Chief Operating Officer* Commissioner of Internal Revenue* County Commissioner* Government Service Executive* Governor* Mayor","Chief executives    ",Business,308.9,296.8,-3.9,20,"183,270","150,000 and up","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
38,"Pediatricians, general    * General Pediatrician* Paediatrician* Pediatrist* Primary Care Pediatrician",Pediatricians,Medical,29.6,34.1,15.4,1.3,"172,650","150,000 and up","Doctoral or professional degree",1,None,4,Internship/residency,1,NULL,NULL
39,"Nurse anesthetists    * Certified Registered Nurse Anesthetist* Certified Registered Nurse Anesthetist (CRNA)* DNAP* Doctor of Nurse Anesthesia Practice* Nurse Anesthetist","Nurse anesthetists    ",Medical,41.8,48.6,16.2,2.8,"165,120","150,000 and up","Master's degree",2,None,4,None,6,NULL,NULL
40,"Dentists, general    * Family Dentist",Dentists,Medical,132.8,158.5,19.4,6.4,"151,440","150,000 and up","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
41,"Computer and information systems managers    * Application Development Director* Chief Technology Officer* Computer Operations Manager* Computer Security Manager* Data Operations Director* Data Processing Manager* Information Systems Director* Information Systems Manager* Information Technology Director* Information Technology Systems Director* Internet Technology Manager* MIS Director* Management Information Systems Director","Computer and information systems managers    ","Information Technology",367.6,411.8,12,32.5,"139,220","125,000-149,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
42,"Architectural and engineering managers    * Electrical Engineering Director* Engineering Design Manager* Engineering Manager* Engineering Research Manager* Global Engineering Manager* Mechanical Engineering Director* Process Engineering Manager","Architectural and engineering managers    ","Art & Design",180.1,190,5.5,13.6,"137,720","125,000-149,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
43,"Airline pilots, copilots, and flight engineers    * Airline Captain* Airline Pilot* Airline Pilot Flight Instructor* Airline Pilot In Command* Airline Pilot Second In Command* Airline Transport Pilot* Charter Pilot (Air Transport Pilot Certificate Required)* Charter Pilot (Airline)* Regional Airline Pilot","Airline pilots",Transportation,84,86.9,3.4,8.1,"137,330","125,000-149,000","Bachelor's degree",3,"Less than 5 years",2,"Moderate-term on-the-job training",4,NULL,NULL
44,"Judges, magistrate judges, and magistrates    * Administrative Court Justice* Circuit Court Judge* County Court Judge* Criminal Court Judge* District Court Judge* Jurist* Justice* Probate Judge* Trial Court Judge* Tribal Judge",Judges,Law,28.4,30,5.6,1.4,"133,840","125,000-149,000","Doctoral or professional degree",1,"5 years or more",1,"Short-term on-the-job training",5,NULL,NULL
45,"Petroleum engineers    * Natural Gas Engineer* Oil Drilling Engineer* Oil Exploration Engineer* Oil Well Engineer* Petroleum Engineer","Petroleum engineers    ",Engineering,33.7,38.8,15.2,2.8,"132,280","125,000-149,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
46,"Marketing managers    * Internet Marketing Manager* Marketing Administrator* Marketing Director* VP Marketing","Marketing managers    ","Sales & Marketing",218.3,240.4,10.1,21.3,"132,230","125,000-149,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
47,"Podiatrists    * Chiropodist* Doctor of Podiatric Medicine* Foot Doctor* Foot Orthopedist* Foot and Ankle Surgeon* Orthopedic Podiatrist* Podiatric Physician","Podiatrists    ",Medical,11,12.2,10.3,0.7,"127,740","125,000-149,000","Doctoral or professional degree",1,None,4,Internship/residency,1,NULL,NULL
48,"Financial managers    * Banking Center Manager* Banking Manager* City Comptroller* City Treasurer* Comptroller* Credit Manager* Financial Director* Financial Officer* Fiscal Manager* International Bank Manager* Residential Mortgage Manager","Financial managers    ",Management,580.4,689,18.7,56.9,"125,080","125,000-149,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
49,"Air traffic controllers    * Air Traffic Control Operator* Air Traffic Control Specialist* Air Traffic Controller* Air Traffic Coordinator* Airport Tower Controller* Control Tower Operator* Enroute Controller","Air traffic controllers    ",Transportation,24.9,25.8,3.5,2.4,"124,540","100,000","Associate's degree",4,None,4,"Long-term on-the-job training",3,NULL,NULL
50,"Pharmacists    * Apothecary* Clinical Pharmacist* Druggist* Hospital Pharmacist* Registered Pharmacist","Pharmacists    ",Medical,312.5,329.9,5.6,15.3,"124,170","100,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
51,"Sales managers    * District Sales Manager* E-Commerce Director* Export Manager* Regional Sales Manager* Sales Account Manager* Sales Director* Territory Sales Manager","Sales managers    ","Sales & Marketing",385.5,414.4,7.5,36.3,"121,060","100,000","Bachelor's degree",3,"Less than 5 years",2,None,6,NULL,NULL
52,"Lawyers    * Agency Legal Counsel* Assistant Attorney General* Assistant Corporation Counsel* Assistant Counsel* Associate Attorney* Attorney* Attorney At Law* Attorney General* Brief Writer* City Attorney* Civil Lawyer* Commonwealth Attorney* Corporate Attorney* Corporate Counsel* Corporate Counselor* County Attorney* Defense Attorney* Deputy Attorney General* Deputy Chief Counsel* District Attorney* Environmental Attorney* Estate Conservator* General Counsel* Insurance Attorney* Lawyer* Legal ","Lawyers    ",Law,792.5,857.5,8.2,40.7,"119,250","100,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
53,"Compensation and benefits managers    * Compensation Director* Employee Benefits Coordinator* Employee Benefits Director* Employee Benefits Manager* Wage and Salary Administrator","Compensation and benefits managers    ",Management,15.8,16.6,5,1.2,"119,120","100,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
54,"Natural sciences managers    * Agricultural Research Director* Geochemical Manager* Geophysical Manager* Ocean Program Administrator","Natural sciences managers    ",Science,56.7,62.3,9.9,5.2,"118,970","100,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
55,"Physicists    * Fluid Dynamicist* Health Physicist* Mathematical Physicist* Medical Physicist* Molecular Physicist* Nuclear Physicist* Optical Scientist* Research Physicist* Rheologist* Thermodynamic Physicist* Thermodynamicist","Physicists    ",Science,17.9,20.5,14.5,1.7,"118,830","100,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
56,"Purchasing managers    * Contract Administrator* Contracting Manager* Director of Strategic Sourcing* Procurement Manager* Purchasing Director* Purchasing Manager* Sourcing Manager","Purchasing managers    ",Management,73.9,77.9,5.5,6.3,"115,760","100,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
57,"Computer hardware engineers    * Computer Hardware Designer* Computer Hardware Developer* Computer Hardware Engineer","Computer hardware engineers    ",Engineering,73.6,77.6,5.5,5.1,"115,120","100,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
58,"Political scientists    * Government Affairs Researcher* Government Affairs Specialist* Local Governance and Citizen Participation Specialist* Political Consultant* Political Research Scientist* Political Researcher","Political scientists    ",Science,7.3,7.5,2.8,0.7,"115,110","100,000","Master's degree",2,None,4,None,6,NULL,NULL
59,"Computer and information research scientists    * Computational Theory Scientist* Computer Scientist* Control System Computer Scientist* Programming Methodology and Languages Researcher","Computer and information research scientists    ","Information Technology",27.9,33.2,19.2,2.5,"114,520","100,000","Master's degree",2,None,4,None,6,NULL,NULL
60,"Aerospace engineers    * Aerodynamics Engineer* Aeronautical Engineer* Aerospace Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer","Aerospace engineers    ",Engineering,69.6,73.8,6.1,4.6,"113,030","100,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
61,"Public relations and fundraising managers    * Communication Manager* Fundraising Director* Public Affairs Director* Public Information Director* Public Information Relations Manager* Public Relations Director* Public Relations Manager* Publicity Director","Public relations and fundraising managers    ","Sales & Marketing",73.5,81.1,10.4,6.9,"111,280","100,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
62,"Optometrists    * Doctor of Optometry* Optometrist","Optometrists    ",Medical,40.2,47.4,17.9,2,"110,300","100,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
63,"Human resources managers    * Employee Relations Manager* Job Analysis Manager* Labor Relations Director* Personnel Administrator* Personnel Director* Personnel Manager* Position Description Manager","Human resources managers    ",Management,136.1,148.4,9.1,12.4,"110,120","100,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
64,"Training and development managers    * E-Learning Manager* Employee Development Director* Employee Development Manager* Labor Training Manager","Training and development managers    ",Management,34.5,38.1,10.3,3.5,"108,250","100,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
65,"Software developers, systems software    * Computer Systems Software Architect* Computer Systems Software Engineer* Embedded Systems Software Developer* Enterprise Systems Engineer* Software Systems Engineer* Systems Software Designer* Systems Software Specialist","Software developers","Information Technology",425,472.1,11.1,32.9,"107,600","100,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
66,"Advertising and promotions managers    * Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotion Manager* Promotions Director* VP Advertising* VP Promotions","Advertising and promotions managers    ","Sales & Marketing",31.3,33,5.5,3.4,"106,130","100,000","Bachelor's degree",3,"Less than 5 years",2,None,6,NULL,NULL
67,"Nuclear engineers    * Atomic Process Engineer* Nuclear Engineer* Nuclear Radiation Engineer* Nuclear Steam Supply System Engineer* Radiation Engineer* Reactor Engineer* Reactor Projects Engineer","Nuclear engineers    ",Engineering,17.7,18.4,3.8,1.4,"105,810","100,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
68,"Managers, all other    * Clerk of Court* Director of Entertainment* Environmental Control Administrator* Highway Patrol Commander* Safety Coordinator* Social Science Manager* Utilities Manager",Managers,Management,992.1,1,8,79.2,"105,610","100,000","Bachelor's degree",3,"Less than 5 years",2,None,6,NULL,NULL
69,"Law teachers, postsecondary    * Constitutional Law Professor* Contracts Law Professor* Criminal Law Professor* Environmental Law Professor* Labor Law Professor* Torts Law Professor","Law teachers",Education,21.2,23.8,12.3,1.9,"104,910","100,000","Doctoral or professional degree",1,"Less than 5 years",2,None,6,NULL,NULL
70,"Physician assistants    * Anesthesiologist Assistant* Certified Physician's Assistant* Family Practice Physician Assistant* Orthopaedic Physician Assistant* Orthopedic Physician Assistant* Pediatric Physician Assistant* Radiology Practitioner Assistant* Surgical Physician Assistant","Physician assistants    ",Medical,106.2,145.9,37.3,10.6,"104,860","100,000","Master's degree",2,None,4,None,6,NULL,NULL
71,"Computer network architects    * Computer Network Engineer* Network Designer* Network Developer* Network Engineer","Computer network architects    ","Information Technology",162.7,173.2,6.5,11.7,"104,650","100,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
72,"Physical scientists, all other    * Physical Scientist","Physical scientists",Science,23.5,25.1,7.2,2,"103,990","100,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
73,"Nurse practitioners    * Acute Care Nurse Practitioner* Adult Nurse Practitioner* Cardiology Nurse Practitioner* Certified Nurse Practitioner* Certified Pediatric Nurse Practitioner* Certified Registered Nurse Practitioner* Dermatology Nurse Practitioner* Electrophysiology Nurse Practitioner* Emergency Medicine Nurse Practitioner* Family Health Nurse Practitioner* Family Practice Nurse Practitioner* Gastroenterology Nurse Practitioner* Gerontological Nurse Practitioner* Internal Medicine Nurse P","Nurse practitioners    ",Medical,155.5,211.6,36.1,14.4,"103,880","100,000","Master's degree",2,None,4,None,6,NULL,NULL
74,"Mathematicians    * Algebraist* Cipher Expert* Cryptanalyst* Cryptographer* Cryptographic Vulnerability Analyst* Geometrician* Mathematician","Mathematicians    ",Math,3.1,4,29.7,0.3,"103,010","100,000","Master's degree",2,None,4,None,6,NULL,NULL
75,"Economists    * Agricultural Economist* Econometrician* Economic Development Specialist* Economic Research Analyst* Economist* Environmental Economist* Industrial Economist* Labor Economist* Price Economist* Social Economist* Tax Economist* Trade Economist","Economists    ",Science,21.3,22.6,6.3,1.6,"102,490","100,000","Master's degree",2,None,4,None,6,NULL,NULL
